id,title,genre,original_language,overview,popularity,release_date,vote_average,vote_count
377587,Meet the Blacks,"Comedy,Horror",en,"As Carl Black gets the opportunity to move his family out of Chicago in hope of a better life, their arrival in Beverly Hills is timed with that city's annual purge, where all crime is legal for twelve hours.",14.504,2016-04-01,4.8,236
574436,Piranhas,"Drama,Crime",it,A gang of teenage boys stalk the streets of Naples armed with hand guns and AK-47s to do their mob bosses' bidding – until they decide to be the bosses themselves.,8.278,2019-02-14,6.9,435
18415,Gummo,"Drama,Comedy",en,"Solomon and Tummler are two teenagers killing time in Xenia, Ohio, a small town that has never recovered from the tornado that ravaged the community in the 1970s.",7.674,1997-10-17,6.6,495
9663,Starman,"Science Fiction,Romance",en,"When an alien takes the form of a young widow's husband and asks her to drive him from Wisconsin to Arizona, the government tries to stop them.",10.158,1984-12-13,6.9,637
238751,Best of the Best,Action,en,A team from the United States is going to compete against Korea in a Tae Kwon Do tournament. The team consists of fighters from all over the country--can they overcome their rivalry and work together to win?,11.12,1989-11-10,6.5,217
262543,Automata,"Thriller,Science Fiction",en,"Jacq Vaucan, an insurance agent of ROC robotics corporation, routinely investigates the case of manipulating a robot. What he discovers will have profound consequences for the future of humanity.",18.841,2014-10-09,5.8,1398
3086,The Lady Eve,"Comedy,Romance",en,"It's no accident when wealthy Charles falls for Jean. Jean is a con artist with her sights set on Charles' fortune. Matters complicate when Jean starts falling for her mark. When Charles suspects Jean is a gold digger, he dumps her. Jean, fixated on revenge and still pining for the millionaire, devises a plan to get back in Charles' life. With love and payback on her mind, she re-introduces herself to Charles, this time as an aristocrat named Lady Eve Sidwich.",7.568,1941-02-25,7.3,244
10669,Deliverance,"Drama,Adventure,Thriller",en,"Intent on seeing the Cahulawassee River before it's turned into one huge lake, outdoor fanatic Lewis Medlock takes his friends on a river-rafting trip they'll never forget into the dangerous American back-country.",10.5,1972-08-18,7.3,1220
11816,On Golden Pond,Drama,en,"For Norman and Ethel Thayer, this summer on golden pond is filled with conflict and resolution. When their daughter Chelsea arrives, the family is forced to renew the bonds of love and overcome the generational friction that has existed for years.",8.395,1981-12-01,7.3,352
297596,Dying of the Light,"Thriller,Drama",en,"Evan Lake, a veteran CIA agent, has been ordered to retire. But when his protégé uncovers evidence that Lake's nemesis, the terrorist Banir, has resurfaced, Lake goes rogue, embarking on a perilous, intercontinental mission to eliminate his sworn enemy.",10.09,2014-12-04,4.7,260
9728,Friday the 13th Part III,Horror,en,"An idyllic summer turns into a nightmare of unspeakable terror for yet another group of naive counselors. Ignoring Camp Crystal Lake's bloody legacy, one by one they fall victim to the maniacal Jason who stalks them at every turn.",33.414,1982-08-13,5.8,1036
9473,"South Park: Bigger, Longer & Uncut","Animation,Comedy",en,"When the four boys see an R-rated movie featuring Canadians Terrance and Philip, they are pronounced ""corrupted"", and their parents pressure the United States to wage war against Canada.",26.832,1999-06-30,7.2,2162
81857,Alps,Drama,el,"A nurse, a paramedic, a gymnast and her coach offer a service for hire wherein they stand in for dead people by appointment, hired by relatives, friends or colleagues of the deceased, to assist with the grieving process.",5.716,2011-09-01,6.2,221
1883,Malcolm X,"Drama,History",en,"A tribute to the controversial black activist and leader of the struggle for black liberation. He hit bottom during his imprisonment in the '50s, he became a Black Muslim and then a leader in the Nation of Islam. His assassination in 1965 left a legacy of self-determination and racial pride.",13.227,1992-11-18,7.5,1292
181533,Night at the Museum: Secret of the Tomb,"Adventure,Comedy,Fantasy,Family",en,"When the magic powers of The Tablet of Ahkmenrah begin to die out, Larry Daley spans the globe, uniting favorite and new characters while embarking on an epic quest to save the magic before it is gone forever.",42.346,2014-12-17,6.2,5077
24869,Ink,"Action,Fantasy",en,"Invisible forces exert power over us in our sleep. A mercenary named Ink, on a literal nightmare mission, captures the spirit of 8-year-old Emma in the dream world. To save her, the dream-givers marshal all their resources, focusing on saving the soul of Emma's tragically broken father.",5.431,2009-01-23,6.4,247
97051,Would You Rather,"Thriller,Horror",en,"Desperate to help her ailing brother, a young woman agrees to compete in a deadly game of ""Would You Rather"", hosted by a sadistic aristocrat.",14.087,2012-10-14,6.0,769
10349,The Dark Half,"Mystery,Horror",en,"Thad Beaumont is the author of a highly successful series of violent pulp thrillers written under the pseudonym of ‘George Stark’, but when he decides to ‘kill-off’ his alter-ego in a mock ceremony, it precipitates a string of sadistic murders matching those in his pulp novels, which are soon discovered to be the work of Stark himself. Looking like a maniacal version of his counterpart, Stark is not so willing to quit the writing game – even if it means coming after Thad's wife and their baby.",7.237,1993-04-23,6.0,303
14400,The Heir Apparent: Largo Winch,"Adventure,Drama,Action,Thriller",fr,"After a powerful billionaire is murdered, his secret adoptive son must race to prove his legitimacy, find his father's killers and stop them from taking over his financial empire.",9.481,2008-12-17,6.0,436
763788,Dangerous,"Action,Thriller",en,"A reformed sociopath heads to a remote island after the death of his brother. Soon after his arrival, the island falls under siege from a deadly gang of mercenaries, and when he discovers their role in his brother’s demise, he sets out on a relentless quest for vengeance.",108.4,2021-11-05,6.2,292
10353,The Visitors II: The Corridors of Time,"Comedy,Fantasy",fr,"The sequel to The Visitors reunites us with those lovable ruffians from the French Medieval ages who - through magic - are transported into the present, with often drastic consequences. Godefroy de Montmirail travels to today to recover the missing family jewels and a sacred relic, guarantor of his wife-to-be's fertility. The confrontation between Godefroy's repellent servant Jack the Crack and his descendent, the effete Jacquart, present-day owner of the chateau, further complicates the matter.",11.106,1998-02-11,6.0,845
18299,Love in the Afternoon,"Comedy,Crime,Drama,Romance",en,Lovestruck conservatory student Ariane pretends to be just as much a cosmopolitan lover as the worldly mature Frank Flannagan hoping that l’amour will take hold.,8.139,1957-05-29,7.1,231
552178,Dark Waters,"Drama,Thriller,History",en,"A tenacious attorney uncovers a dark secret that connects a growing number of unexplained deaths to one of the world's largest corporations. In the process, he risks everything — his future, his family, and his own life — to expose the truth.",17.022,2019-11-22,7.5,1583
1857,The Transformers: The Movie,"Animation,Science Fiction,Action,Adventure,Family",en,"The Autobots must stop a colossal planet-consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons.",11.883,1986-08-08,7.2,391
333352,Eye in the Sky,"Drama,Thriller,War",en,"A UK-based military officer in command of a top secret drone operation to capture terrorists in Kenya discovers the targets are planning a suicide bombing and the mission escalates from “capture” to “kill.” As American pilot Steve Watts is about to engage, a nine-year old girl enters the kill zone, triggering an international dispute reaching the highest levels of US and British government over the moral, political, and personal implications of modern warfare.",13.348,2016-03-10,7.0,1300
531428,Portrait of a Lady on Fire,"Drama,Romance,History",fr,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",20.978,2019-06-17,8.2,1831
33954,Hawks and Sparrows,"Comedy,Drama,Fantasy",it,A man and his son take an allegorical stroll through life with a talking bird that spouts social and political philosophy.,8.89,1966-05-04,7.3,247
503619,The Package,Comedy,en,"When a group of teenagers goes on a spring break camping trip, an unfortunate accident sets off a race to save their friend’s most prized possession.",26.165,2018-08-10,6.0,997
652483,Airplane Mode,"Comedy,Drama,Romance",pt,"When Ana, an influencer, crashes her car while talking on the phone, she's shipped to her grumpy grandfather's farm -- and forced into a digital detox.",11.251,2020-01-23,6.3,641
9705,Swordfish,"Action,Crime,Thriller",en,"Rogue agent Gabriel Shear is determined to get his mitts on $9 billion stashed in a secret Drug Enforcement Administration account. He wants the cash to fight terrorism, but lacks the computer skills necessary to hack into the government mainframe. Enter Stanley Jobson, a n'er-do-well encryption expert who can log into anything.",17.029,2001-06-07,6.2,2226
2134,The Time Machine,"Thriller,Adventure,Fantasy,Science Fiction,Romance",en,A Victorian Englishman travels to the far future and finds that humanity has divided into two hostile species.,22.305,1960-05-25,7.4,615
467673,Budapest,Comedy,fr,Two best friends stuck in boring jobs become bachelor party planners in Budapest.,8.683,2018-06-27,5.6,351
274479,Joy,"Drama,Comedy",en,A story based on the life of a struggling Long Island single mom who became one of the country's most successful entrepreneurs.,14.105,2015-12-24,6.5,3639
203739,Vampire Academy,"Comedy,Action,Fantasy",en,"Rose, a rebellious half-vampire/half-human guardian-in-training and her best friend, Lissa -- a mortal, royal vampire Princess - have been on the run when they are captured and returned to St. Vladamirs Academy, the very place where they believe their lives may be in most jeopardy. Rose will sacrifice everything to protect Lissa from those who intend to exploit her from within the Academy walls and the Strigoi (immortal, evil vampires) who hunt her kind from outside its sanctuary.",20.48,2014-02-07,6.3,1566
11890,Oscar,Comedy,en,"Angelo ""Snaps"" Provolone made his dying father a promise on his deathbed: he would leave the world of crime and become an honest businessman. Despite having no experience in making money in a legal fashion, Snaps sets about to keep his promise.",8.305,1991-04-26,6.3,393
31056,A Short Film About Love,"Drama,Romance",pl,"19-year-old Tomek whiles away his lonely life by spying on his opposite neighbour Magda through binoculars. She's an artist in her mid-thirties, and appears to have everything - not least a constant stream of men at her beck and call. But when the two finally meet, they discover that they have a lot more in common than appeared at first sight...",5.732,1988-01-01,7.8,270
4247,Scary Movie,Comedy,en,"A familiar-looking group of teenagers find themselves being stalked by a more-than-vaguely recognizable masked killer! As the victims begin to pile up and the laughs pile on, none of your favorite scary movies escape the razor-sharp satire of this outrageously funny parody!",128.218,2000-07-07,6.3,5624
1523,The Last King of Scotland,Drama,en,"Young Scottish doctor, Nicholas Garrigan decides it's time for an adventure after he finishes his formal education, so he decides to try his luck in Uganda, and arrives during the downfall of President Obote. General Idi Amin comes to power and asks Garrigan to become his personal doctor.",18.324,2006-01-12,7.5,1687
10067,The Shaggy Dog,"Comedy,Family",en,The tale of a workaholic dad-turned-dog who finds that being man's best friend shows him the most important job - being a great dad.,15.672,2006-03-09,4.9,479
10654,Hair,"Comedy,Drama,Music,Romance,War",en,"Upon receiving his draft notice and leaving his family ranch in Oklahoma, Claude heads to New York and befriends a tribe of long-haired hippies on his way to boot camp.",8.857,1979-03-14,7.3,511
